Team,Won,Lost,Tied,Pct.,Years,Total Games,Conference
Ohio State?1,942,329,53,0.731,131,1324,Big Ten
Alabama?2,942,333,43,0.731,126,1318,SEC
Notre Dame?3,929,330,42,0.73,131,1301,Independent
Michigan,976,352,36,0.729,141,1364,Big Ten
Oklahoma,931,331,53,0.728,126,1312,Big 12
Boise State,472,177,2,0.727,53,651,Mountain West
Texas,928,385,33,0.702,128,1346,Big 12
Southern California?4,856,360,54,0.695,127,1270,Pac-12
Penn State,909,404,41,0.686,134,1354,Big Ten
Nebraska,908,409,40,0.684,131,1357,Big Ten
Tennessee,856,408,53,0.67,124,1317,SEC
Georgia,853,428,54,0.659,127,1335,SEC
Florida State?5,558,277,17,0.665,74,852,ACC
LSU,823,427,47,0.653,127,1297,SEC
Coastal Carolina,149,80,0,0.651,18,229,Sun Belt
Appalachian State,649,343,29,0.65,91,1021,Sun Belt
Miami (FL),651,375,19,0.632,95,1045,ACC
Florida,747,431,40,0.63,114,1218,SEC
Auburn,788,457,47,0.628,128,1292,SEC
Georgia Southern6,406,239,10,0.627,57,660,Sun Belt
Clemson,778,465,45,0.622,125,1288,ACC
Washington,750,463,50,0.614,131,1263,Pac-12
Arizona State,632,406,24,0.606,108,1062,Pac-12
Texas A&M,766,491,48,0.605,126,1305,SEC
Virginia Tech,762,491,46,0.604,127,1299,ACC
Michigan State,721,472,44,0.601,124,1237,Big Ten
West Virginia,767,515,45,0.595,128,1327,Big 12
Miami (OH),707,474,44,0.595,132,1225,MAC
Utah,701,473,31,0.595,127,1205,Pac-12
Central Michigan,638,435,36,0.592,120,1109,MAC
Western Kentucky,598,416,30,0.587,102,1044,C-USA
Wisconsin,728,506,53,0.586,132,1287,Big Ten
Fresno State,626,438,27,0.586,99,1091,Mountain West
UCLA,620,437,37,0.584,102,1094,Pac-12
Georgia Tech?7,744,527,43,0.583,128,1314,ACC
Brigham Young,603,431,26,0.581,96,1060,Independent
Arkansas,729,525,40,0.579,127,1294,SEC
Stanford,664,478,49,0.578,114,1191,Pac-12
Southern Miss,600,436,26,0.577,103,1062,C-USA
Colorado,718,525,36,0.575,131,1279,Pac-12
Pittsburgh,749,547,42,0.575,131,1338,ACC
Minnesota,718,532,44,0.572,137,1294,Big Ten
Oregon,683,506,46,0.572,125,1235,Pac-12
Boston College,684,510,37,0.571,122,1231,ACC
San Diego State,581,433,32,0.571,98,1044,Mountain West
Army,715,533,51,0.57,131,1299,Independent
Louisiana Tech,635,477,37,0.569,117,1149,C-USA
Middle Tennessee,595,450,28,0.568,106,1073,C-USA
Old Dominion,83,63,0,0.568,11,146,C-USA
Bowling Green,549,413,52,0.567,102,1014,MAC
Troy,552,426,28,0.563,100,1006,Sun Belt
Syracuse,730,564,49,0.562,131,1343,ACC
North Carolina?8,712,559,54,0.558,130,1325,ACC
Arizona,618,489,33,0.557,117,1140,Pac-12
Western Michigan,588,466,24,0.557,115,1078,MAC
Toledo,560,444,24,0.556,100,1028,MAC
Central Florida,278,222,1,0.556,42,501,The American
Navy,729,585,57,0.553,140,1371,The American
Texas Tech,582,470,32,0.552,96,1084,Big 12
Air Force,414,335,13,0.552,65,762,Mountain West
California,682,554,51,0.55,125,1287,Pac-12
Tulsa,638,519,27,0.55,121,1183,The American
Mississippi,656,540,35,0.547,126,1231,SEC
Hawaii,575,474,25,0.547,104,1074,Mountain West
Houston,460,381,15,0.546,75,856,The American
Missouri,694,581,52,0.543,130,1327,SEC
Iowa,675,567,39,0.542,132,1281,Big Ten
Texas Christian,667,565,57,0.54,124,1289,Big 12
South Florida,160,137,0,0.539,24,297,The American
Northern Illinois,601,512,51,0.538,119,1164,MAC
Nevada,565,496,33,0.532,113,1094,Mountain West
Liberty,270,243,4,0.526,47,517,Independent
Marshall,606,554,47,0.522,120,1207,C-USA
Louisville,526,480,17,0.522,101,1023,ACC
Oklahoma State,608,560,48,0.52,118,1216,Big 12
Virginia,671,620,48,0.519,130,1339,ACC
Texas State,517,479,25,0.519,105,1021,Sun Belt
Maryland,654,608,43,0.518,127,1305,Big Ten
Cincinnati,634,593,51,0.516,132,1278,The American
Purdue,620,579,48,0.516,132,1247,Big Ten
Ball State,461,434,32,0.515,95,927,MAC
North Carolina State,612,587,55,0.51,128,1254,ACC
Baylor,609,584,44,0.51,118,1237,Big 12
South Carolina,615,594,44,0.508,126,1253,SEC
Ohio,580,568,48,0.505,124,1196,MAC
East Carolina,443,434,12,0.505,84,889,The American
Illinois,614,606,50,0.503,130,1270,Big Ten
North Texas,524,520,33,0.502,104,1077,C-USA
Utah State,550,550,31,0.5,122,1131,Mountain West
Kentucky,629,632,44,0.499,129,1305,SEC
Washington State,553,567,45,0.494,124,1165,Pac-12
Memphis,510,522,33,0.494,104,1065,The American
Rutgers,655,673,42,0.493,150,1370,Big Ten
Arkansas State?10,485,499,37,0.493,105,1021,Sun Belt
Duke,518,538,31,0.491,107,1087,ACC
Vanderbilt,609,638,50,0.489,130,1297,SEC
Mississippi State,565,592,39,0.489,120,1196,SEC
Louisiana-Lafayette,540,565,34,0.489,118,1139,Sun Belt
San Jose State,498,521,38,0.489,102,1057,Mountain West
Massachusetts,575,608,50,0.487,137,1233,Independent
Akron,524,563,36,0.483,119,1123,MAC
Wyoming,542,583,28,0.482,123,1153,Mountain West
Southern Methodist,507,547,54,0.482,103,1108,The American
Alabama at Birmingham,152,169,2,0.474,27,323,C-USA
Kansas,588,658,58,0.473,130,1304,Big 12
Colorado State,528,591,33,0.473,121,1152,Mountain West
Oregon State,539,615,50,0.468,123,1204,Pac-12
Iowa State,548,658,46,0.456,128,1252,Big 12
Kansas State,543,657,42,0.454,124,1242,Big 12
Tulane,540,657,38,0.453,126,1235,The American
Northwestern,554,677,44,0.452,132,1275,Big Ten
Florida Atlantic,108,133,0,0.448,19,241,C-USA
New Mexico,490,613,31,0.446,121,1134,Mountain West
South Alabama,61,76,0,0.445,11,137,Sun Belt
Texas-San Antonio,52,66,0,0.441,9,118,C-USA
Eastern Michigan,468,606,47,0.438,128,1121,MAC
Rice,477,629,32,0.433,108,1138,C-USA
Buffalo,394,534,28,0.427,106,956,MAC
Indiana,498,686,44,0.423,132,1228,Big Ten
Louisiana-Monroe,315,438,8,0.419,69,761,Sun Belt
Wake Forest,469,669,33,0.415,118,1171,ACC
New Mexico State,435,649,30,0.404,123,1114,Independent
Texas-El Paso,395,612,30,0.395,102,1037,C-USA
Nevada-Las Vegas,236,364,4,0.394,52,604,Mountain West
Kent State,353,570,28,0.386,97,951,MAC
Florida International,79,143,0,0.356,18,222,C-USA
Charlotte,34,62,0,0.354,9,96,C-USA
Georgia State,42,87,0,0.326,10,129,Sun Belt
